year,train_start,train_end,train_samples,investment_samples,lstm_loss,lstm_epochs,lstm_units,forecast_lags,hold_weeks
1998,1993-10-01,1997-12-26,215,52,0.14499889314174652,80,8,4,4
1999,1994-01-07,1998-12-25,253,53,0.09744074195623398,80,8,4,4
2000,1995-01-13,1999-12-31,253,52,0.14775753021240234,80,8,4,4
2001,1996-01-05,2000-12-29,254,52,0.14212967455387115,80,8,4,4
2002,1997-01-10,2001-12-28,253,52,0.14018571376800537,80,8,4,4
2003,1998-01-09,2002-12-27,253,52,0.09958118200302124,80,8,4,4
2004,1999-01-08,2003-12-26,253,53,0.07538852095603943,80,8,4,4
2005,2000-01-07,2004-12-31,254,52,0.0939638614654541,80,8,4,4
2006,2001-01-12,2005-12-30,253,52,0.1775619387626648,80,8,4,4
2007,2002-01-11,2006-12-29,253,52,0.16269904375076294,80,8,4,4
2008,2003-01-10,2007-12-28,253,52,0.181019127368927,80,8,4,4
2009,2004-01-02,2008-12-26,254,52,0.1628699004650116,80,8,4,4
2010,2005-01-07,2009-12-25,253,53,0.10950255393981934,80,8,4,4
2011,2006-01-13,2010-12-31,253,52,0.08888469636440277,80,8,4,4
2012,2007-01-12,2011-12-30,253,52,0.105101078748703,80,8,4,4
2013,2008-01-04,2012-12-28,254,52,0.12212619930505753,80,8,4,4
2014,2009-01-09,2013-12-27,253,52,0.12420365959405899,80,8,4,4
2015,2010-01-08,2014-12-26,253,52,0.17210154235363007,80,8,4,4
2016,2011-01-07,2015-12-25,253,53,0.14993128180503845,80,8,4,4
2017,2012-01-06,2016-12-30,254,52,0.18478596210479736,80,8,4,4
2018,2013-01-11,2017-12-29,253,52,0.19072170555591583,80,8,4,4
2019,2014-01-10,2018-12-28,253,52,0.09978026151657104,80,8,4,4
2020,2015-01-09,2019-12-27,253,52,0.1167636439204216,80,8,4,4
2021,2016-01-01,2020-12-25,254,53,0.07109718769788742,80,8,4,4
2022,2017-01-13,2021-12-31,253,52,0.04898064583539963,80,8,4,4
2023,2018-01-12,2022-12-30,253,48,0.058792974799871445,80,8,4,4
